type;title;author;genre;year;path
audio;Tak Tiki Tak;Harry Nach;Trap;2019;files/Harry Nach - Tak Tiki Tak (Video Oficial)(MP3_70K).mp3
audio;Qué Más Pues;J. Balvin_ Maria Becerra;Reaggaeton, Trap;2021;files/J. Balvin_ Maria Becerra - Qué Más Pues_(MP3_70K).mp3
audio;In Da Getto;J. Balvin_ Skrillex;Reaggaeton, Electrónica;2021;files/J. Balvin_ Skrillex - In Da Getto(MP3_320K).mp3
audio;Las morras me gustan son lo mejor de la vida;Banda;Corrido;2017;files/Las morras me gustan son lo mejor de la vida [Letra](MP3_70K).mp3
audio;Ladrones;Lasso_ Danna Paola;Pop;2021;files/Lasso_ Danna Paola - Ladrones(MP3_70K).mp3
audio;EL TREN;Micro TDH_ Myke Towers;Reaggaeton;2021;files/Micro TDH_ Myke Towers - EL TREN (Official Video)(MP3_70K).mp3
audio;BZRP Music Sessions _41;Nicky Jam;Trap;2021;files/Nicky Jam __ BZRP Music Sessions _41(MP3_70K).mp3
audio;LOBA;Rusherking;Trap;2021;files/Rusherking - LOBA (Official Video)(MP3_70K).mp3
audio;Entre Nosotros;Tiago PZK_ LIT killah;Trap;2021;files/Tiago PZK_ LIT killah - Entre Nosotros (Video Oficial)(MP3_70K).mp3;
audio;See You Again;Wiz Khalifa ft. Charlie Puth;Pop;2017;files/Wiz Khalifa - See You Again ft. Charlie Puth (Lyrics   Sub Español) Video Official(MP3_70K).mp3
